,BERTScore_P,BERTScore_F1,BLEU-4,METEOR,BLEU-2,BLEU-3,ROUGE-2-F1,BLEU-1,ROUGE-L-F1,BERTScore_R,ROUGE-1-F1
DIGGER_plan,0.415,0.393,0.201,0.348,0.298,0.241,0.332,0.395,0.512,0.371,0.52
gpt-4o,-0.313,-0.136,0.005,0.173,0.027,0.011,0.015,0.068,0.109,0.052,0.115
deepseek_v3,-0.259,-0.082,0.006,0.177,0.029,0.013,0.018,0.072,0.124,0.108,0.129
no_step,0.399,0.38,0.151,0.304,0.261,0.199,0.243,0.365,0.465,0.362,0.471
no_entity,0.413,0.39,0.172,0.338,0.271,0.212,0.287,0.374,0.493,0.366,0.501
gpt-4,-0.111,0.001,0.007,0.188,0.037,0.015,0.018,0.089,0.135,0.118,0.141
no_Instanting,0.4,0.383,0.189,0.343,0.289,0.231,0.315,0.387,0.512,0.365,0.519
clap,-0.036,0.005,0.002,0.043,0.005,0.003,0.002,0.02,0.033,0.047,0.035
org_step,0.414,0.401,0.23,0.395,0.293,0.252,0.274,0.385,0.418,0.388,0.427
